condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,29312,0.10784514543219992,0.3069367710251688,9764,19548
natural,validation,4880,0.1032376298106292,0.28831329016342894,1637,3243
natural,probe_validation,4885,0.11771919068056406,0.29870928088506454,1631,3254
natural,test,9765,0.11234177215189874,0.3044663133989402,3160,6605
equalized,train,24950,0.10784514543219992,0.10786250493875939,9764,15186
equalized,validation,4211,0.1032376298106292,0.10334110334110334,1637,2574
equalized,probe_validation,4217,0.11771919068056406,0.11755607115235886,1631,2586
equalized,test,8335,0.11234177215189874,0.11227053140096618,3160,5175
shift50,train,28786,0.05704697986577181,0.3069367710251688,9238,19548
shift50,validation,4796,0.054732775273663874,0.28831329016342894,1553,3243
shift50,probe_validation,4789,0.06254071661237785,0.29870928088506454,1535,3254
shift50,test,9587,0.059356136820925554,0.3044663133989402,2982,6605
shift75,train,28522,0.029306886561176734,0.3069367710251688,8974,19548
shift75,validation,4753,0.02781456953642384,0.28831329016342894,1510,3243
shift75,probe_validation,4741,0.03227975790181574,0.29870928088506454,1487,3254
shift75,test,9499,0.030753282653766412,0.3044663133989402,2894,6605
