condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,3166,0.3882896764252696,0.5358672376873662,1298,1868
natural,validation,528,0.39603960396039606,0.4815950920245399,202,326
natural,probe_validation,528,0.43137254901960786,0.5771604938271605,204,324
natural,test,1056,0.37593984962406013,0.4809741248097412,399,657
equalized,train,2715,0.3882896764252696,0.3881439661256175,1298,1417
equalized,validation,482,0.39603960396039606,0.3964285714285714,202,280
equalized,probe_validation,445,0.43137254901960786,0.4315352697095436,204,241
equalized,test,945,0.37593984962406013,0.37545787545787546,399,546
shift50,train,2914,0.24091778202676864,0.5358672376873662,1046,1868
shift50,validation,488,0.24691358024691357,0.4815950920245399,162,326
shift50,probe_validation,484,0.275,0.5771604938271605,160,324
shift50,test,981,0.23148148148148148,0.4809741248097412,324,657
shift75,train,2788,0.13695652173913042,0.5358672376873662,920,1868
shift75,validation,468,0.14084507042253522,0.4815950920245399,142,326
shift75,probe_validation,462,0.15942028985507245,0.5771604938271605,138,324
shift75,test,944,0.13240418118466898,0.4809741248097412,287,657
