condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,18000,0.2074555779446785,0.24583451002541654,10918,7082
natural,validation,3000,0.19944289693593314,0.23153526970954358,1795,1205
natural,probe_validation,3000,0.19610027855153203,0.23651452282157676,1795,1205
natural,test,6000,0.21864594894561598,0.2370617696160267,3604,2396
equalized,train,17657,0.2074555779446785,0.20744917643567296,10918,6739
equalized,validation,2952,0.19944289693593314,0.1996542783059637,1795,1157
equalized,probe_validation,2939,0.19610027855153203,0.1958041958041958,1795,1144
equalized,test,5944,0.21864594894561598,0.2188034188034188,3604,2340
shift50,train,16868,0.11577764152871449,0.24583451002541654,9786,7082
shift50,validation,2821,0.11076732673267327,0.23153526970954358,1616,1205
shift50,probe_validation,2824,0.10870907967881409,0.23651452282157676,1619,1205
shift50,test,5606,0.12274143302180686,0.2370617696160267,3210,2396
shift75,train,16301,0.061394945221824496,0.24583451002541654,9219,7082
shift75,validation,2732,0.05893909626719057,0.23153526970954358,1527,1205
shift75,probe_validation,2736,0.05747877204441541,0.23651452282157676,1531,1205
shift75,test,5409,0.06538333886491869,0.2370617696160267,3013,2396
