condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,1196,0.26124567474048443,0.6909385113268608,578,618
natural,validation,199,0.26436781609195403,0.7678571428571429,87,112
natural,probe_validation,199,0.32673267326732675,0.7040816326530612,101,98
natural,test,400,0.2736842105263158,0.7238095238095238,190,210
equalized,train,837,0.26124567474048443,0.2625482625482625,578,259
equalized,validation,122,0.26436781609195403,0.2571428571428571,87,35
equalized,probe_validation,144,0.32673267326732675,0.32558139534883723,101,43
equalized,test,270,0.2736842105263158,0.275,190,80
shift50,train,1120,0.14940239043824702,0.6909385113268608,502,618
shift50,validation,187,0.14666666666666667,0.7678571428571429,75,112
shift50,probe_validation,183,0.2,0.7040816326530612,85,98
shift50,test,374,0.15853658536585366,0.7238095238095238,164,210
shift75,train,1083,0.08172043010752689,0.6909385113268608,465,618
shift75,validation,182,0.08571428571428572,0.7678571428571429,70,112
shift75,probe_validation,174,0.10526315789473684,0.7040816326530612,76,98
shift75,test,361,0.08609271523178808,0.7238095238095238,151,210
