condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,36252,0.3295410614679406,0.6235877652245798,18107,18145
natural,validation,6042,0.3145846958796599,0.6310321715817694,3058,2984
natural,probe_validation,6042,0.33787375415282395,0.6121372031662269,3010,3032
natural,test,12084,0.32092489340767466,0.6358169061142667,6098,5986
equalized,train,28294,0.3295410614679406,0.3295376460194365,18107,10187
equalized,validation,4664,0.3145846958796599,0.31444582814445826,3058,1606
equalized,probe_validation,4786,0.33787375415282395,0.33783783783783783,3010,1776
equalized,test,9308,0.32092489340767466,0.32087227414330216,6098,3210
shift50,train,33268,0.19724922303775705,0.6235877652245798,15123,18145
shift50,validation,5561,0.186651144741948,0.6310321715817694,2577,2984
shift50,probe_validation,5534,0.20343725019984013,0.6121372031662269,2502,3032
shift50,test,11106,0.1912109375,0.6358169061142667,5120,5986
shift75,train,31777,0.10944835680751173,0.6235877652245798,13632,18145
shift75,validation,5320,0.10273972602739725,0.6310321715817694,2336,2984
shift75,probe_validation,5279,0.11303960836671118,0.6121372031662269,2247,3032
shift75,test,10616,0.10561555075593952,0.6358169061142667,4630,5986
