condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,122916,0.19123039917982151,0.6063627628910003,76081,46835
natural,validation,20566,0.1903489468720528,0.6083907166539149,12724,7842
natural,probe_validation,20436,0.19653672930579283,0.5953956073035195,12878,7558
natural,test,41091,0.19062145566897415,0.612872052570545,25569,15522
equalized,train,98876,0.19123039917982151,0.1912261460846677,76081,22795
equalized,validation,16517,0.1903489468720528,0.19035064592670708,12724,3793
equalized,probe_validation,16684,0.19653672930579283,0.19653179190751446,12878,3806
equalized,test,32993,0.19062145566897415,0.1905980603448276,25569,7424
shift50,train,115642,0.10573052160390659,0.6063627628910003,68807,46835
shift50,validation,19355,0.10518544254321202,0.6083907166539149,11513,7842
shift50,probe_validation,19170,0.10893902859111264,0.5953956073035195,11612,7558
shift50,test,38654,0.10535189348089227,0.612872052570545,23132,15522
shift75,train,112004,0.05580874342095168,0.6063627628910003,65169,46835
shift75,validation,18750,0.05555555555555555,0.6083907166539149,10908,7842
shift75,probe_validation,18538,0.057650273224043716,0.5953956073035195,10980,7558
shift75,test,37435,0.055583443617943686,0.612872052570545,21913,15522
