condition,split,n,group0_prevalence,group1_prevalence,group0_n,group1_n
natural,train,12478,0.7268067657611481,0.9180203286786359,1951,10527
natural,validation,2080,0.729903536977492,0.9338609383832673,311,1769
natural,probe_validation,2080,0.707774798927614,0.9256004686584651,373,1707
natural,test,4160,0.7172619047619048,0.9225917431192661,672,3488
equalized,train,5110,0.7268067657611481,0.7268122823678379,1951,3159
equalized,validation,744,0.729903536977492,0.7297921478060047,311,433
equalized,probe_validation,808,0.707774798927614,0.7080459770114943,373,435
equalized,test,1627,0.7172619047619048,0.7172774869109948,672,955
shift50,train,11769,0.57085346215781,0.9180203286786359,1242,10527
shift50,validation,1966,0.5736040609137056,0.9338609383832673,197,1769
shift50,probe_validation,1948,0.5477178423236515,0.9256004686584651,241,1707
shift50,test,3919,0.5591647331786543,0.9225917431192661,431,3488
shift75,train,11414,0.399098083427283,0.9180203286786359,887,10527
shift75,validation,1910,0.40425531914893614,0.9338609383832673,141,1769
shift75,probe_validation,1882,0.37714285714285717,0.9256004686584651,175,1707
shift75,test,3798,0.3870967741935484,0.9225917431192661,310,3488
