pathology,split,a,images,patients,positives,prevalence,before_images,before_positives,before_prevalence,removed_positive_images
Cardiomegaly,train,0,44024,16599,3567,0.08102398691622752,47590,7133,0.1498844295019962,3566
Cardiomegaly,train,1,67956,21483,10782,0.15866148684442874,67956,10782,0.15866148684442874,0
Cardiomegaly,validation,0,3682,1405,343,0.09315589353612168,4024,685,0.1702286282306163,342
Cardiomegaly,validation,1,5681,1770,917,0.1614152437951065,5681,917,0.1614152437951065,0
Cardiomegaly,selection,0,3522,1340,288,0.0817717206132879,3810,576,0.15118110236220472,288
Cardiomegaly,selection,1,5703,1828,986,0.17289146063475364,5703,986,0.17289146063475364,0
Cardiomegaly,probe_validation,0,7095,2773,604,0.08513037350246652,7699,1208,0.15690349396025458,604
Cardiomegaly,probe_validation,1,10801,3578,1810,0.16757707619664847,10801,1810,0.16757707619664847,0
Cardiomegaly,test,0,14515,5544,1237,0.08522218394764038,15752,2474,0.15705942102590148,1237
Cardiomegaly,test,1,22010,7149,3521,0.1599727396637892,22010,3521,0.1599727396637892,0
