pathology,split,a,images,patients,positives,prevalence,before_images,before_positives,before_prevalence,removed_positive_images
Edema,train,0,39732,16097,7859,0.19780026175375012,47590,15717,0.3302584576591721,7858
Edema,train,1,67956,21483,21292,0.3133203837777385,67956,21292,0.3133203837777385,0
Edema,validation,0,3369,1364,656,0.19471653309587414,4024,1311,0.3257952286282306,655
Edema,validation,1,5681,1770,1844,0.3245907410667136,5681,1844,0.3245907410667136,0
Edema,selection,0,3169,1310,641,0.20227201009782267,3810,1282,0.33648293963254594,641
Edema,selection,1,5703,1828,1899,0.33298264071541295,5703,1899,0.33298264071541295,0
Edema,probe_validation,0,6385,2693,1314,0.20579483163664838,7699,2628,0.3413430315625406,1314
Edema,probe_validation,1,10801,3578,3345,0.3096935468938061,10801,3345,0.3096935468938061,0
Edema,test,0,13068,5402,2684,0.2053872053872054,15752,5368,0.3407821229050279,2684
Edema,test,1,22010,7149,6807,0.3092685143116765,22010,6807,0.3092685143116765,0
